ell1,ell2,abs_dot
2,3,0.2823975017482061
2,4,0.19650430453955658
2,5,0.11958277999200653
2,6,0.5683544523425638
2,7,0.9129685424844248
2,8,0.8065706175110205
2,9,0.8444381491556211
2,10,0.8115671994296019
2,11,0.9532883784099765
2,12,0.33995351912506727
2,13,0.9707357939087947
2,14,0.055620890023428564
2,15,0.5781231244033136
2,16,0.8156973020286716
2,17,0.2530770861138758
2,18,0.8922228465114298
2,19,0.7757244971066957
2,20,0.3324505515590601
2,21,0.7040763648271148
2,22,0.9011772250896856
2,23,0.5954370648609468
2,24,0.4245157478300937
2,25,0.6184280211078527
2,26,0.42537224978338284
2,27,0.6023489831077042
2,28,0.35042872859997526
2,29,0.2165895764285734
2,30,0.01921545469823608
3,4,0.45103034259802566
3,5,0.834344545504656
3,6,0.3253999576362523
3,7,0.21412314647928363
3,8,0.3026959273828962
3,9,0.6831134140108238
3,10,0.7689193523913526
3,11,0.011141320027652224
3,12,0.6922534004916039
3,13,0.07603712200827503
3,14,0.3858103242564692
3,15,0.1693934791318928
3,16,0.3227237728641552
3,17,0.965735422898683
3,18,0.6679557680221182
3,19,0.02630527478593256
3,20,0.3060962611784466
3,21,0.48063190983783244
3,22,0.2007224218383881
3,23,0.10316574837408643
3,24,0.47075051335066165
3,25,0.15634013279608616
3,26,0.5314547068260878
3,27,0.41275230535294366
3,28,0.7985886779602949
3,29,0.11901125888481323
3,30,0.33477105626383136
4,5,0.7129168135801134
4,6,0.4796420291456159
4,7,0.5213328054068377
4,8,0.7119601278394512
4,9,0.5958880233387034
4,10,0.5315560043181211
4,11,0.1986149335744051
4,12,0.6789262085713952
4,13,0.21466761814513985
4,14,0.6447572609013575
4,15,0.6864275350754945
4,16,0.11951621883497451
4,17,0.6642555292233129
4,18,0.24198559099722974
4,19,0.6017629656707819
4,20,0.6459617241759443
4,21,0.19905798830344726
4,22,0.2283830045284691
4,23,0.6693411621793318
4,24,0.4201213271227716
4,25,0.6488337775496675
4,26,0.7285285048176632
4,27,0.5927013807519399
4,28,0.3545936070703451
4,29,0.887135163269335
4,30,0.6891541980497856
5,6,0.26155213278331346
5,7,0.015190501541567314
5,8,0.2135144374322338
5,9,0.4281137044582653
5,10,0.4764171578652592
